
running 506 tests
test admission_operation_store::tests::dpop_replay::claims::preflight::real_nonce_preflight_requires_fresh_claim_but_recovers_and_cleans_expired_history ... ok
test admission_operation_store::tests::dpop_replay::concurrency::blocked_source_keeps_destination_readable_and_concurrent_import_nonblocking ... ok
test admission_operation_store::tests::dpop_replay::concurrency::callbacks_can_read_destination_but_cannot_reenter_import_through_another_adapter ... ok
test admission_operation_store::tests::dpop_replay::failures::destination_write_cutpoints_rollback_rows_events_and_global_commits ... ok
test admission_operation_store::tests::dpop_replay::failures::lost_seal_acknowledgement_leaves_pending_history_and_retries_exactly_once ... ok
test admission_operation_store::tests::dpop_replay::failures::owner_wide_migration_guard_rejects_concurrent_import_without_source_access ... ok
test admission_operation_store::tests::dpop_replay::failures::panicking_callbacks_release_the_import_guard_and_never_grant_partial_history ... ok
test admission_operation_store::tests::dpop_replay::failures::unavailable_sources_never_complete_or_reseal_imported_history ... ok
test admission_operation_store::tests::dpop_replay::integrity::aggregate_expectation_limits_are_checked_before_decoding_any_source ... ok
test admission_operation_store::tests::dpop_replay::integrity::current_schema_damage_is_not_repaired_on_reopen ... ok
test admission_operation_store::tests::dpop_replay::integrity::immutable_guards_reject_replace_update_and_delete ... ok
test admission_operation_store::tests::dpop_replay::integrity::local_rows_and_global_references_are_verified_without_external_write_detection ... ok
test admission_operation_store::tests::dpop_replay::integrity::oversized_and_wrong_storage_types_refuse_before_canonical_decode ... ok
test admission_operation_store::tests::dpop_replay::lifecycle::authority_clock_regression_denies_before_source_access ... ok
test admission_operation_store::tests::dpop_replay::lifecycle::destination_reopen_preserves_pending_and_imported_history_but_requires_the_live_source ... ok
test admission_operation_store::tests::dpop_replay::lifecycle::exact_pin_import_and_retry_preserve_every_marker_without_activation ... ok
test admission_operation_store::tests::dpop_replay::lifecycle::mutation_after_pin_refuses_seal_without_repinning_or_source_repair ... ok
test admission_operation_store::tests::dpop_replay::lifecycle::source_instance_cannot_be_pinned_under_a_second_authority ... ok
test admission_operation_store::tests::dpop_replay::lifecycle::source_replacement_before_seal_cannot_complete_the_pinned_generation ... ok
test admission_operation_store::tests::dpop_replay::lifecycle::stale_fences_wrong_instances_and_generations_deny_before_callbacks ... ok
test admission_operation_store::tests::dpop_replay::migration::v23_upgrade_adds_only_empty_dpop_history_and_rejects_unqualified_namespaces ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_cannot_bind_a_kernel_transport_or_a_pre_dispatch_mutation ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_capture_replays_exactly_and_rejects_generic_commands ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_commits_with_capture_and_survives_restart ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_does_not_bypass_live_nonce_validation ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_insert_failure_rolls_back_operation_and_nonce_history ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_migration_preserves_ordinary_nonce_history ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_migration_refuses_ambiguous_legacy_caller_reservations ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_migration_refuses_legacy_compensation_as_proof_of_nonexecution ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_migration_refuses_unversioned_legacy_callers ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_missing_or_changed_physical_rows_fail_closed ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_oversized_physical_row_is_rejected_before_decode ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_read_rejects_stale_fences_and_regressed_time ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_rejects_substituted_binding_and_noncanonical_payloads ... ok
test admission_operation_store::tests::execution_nonce::caller_dispatch_context::caller_context_uncommitted_and_orphan_rows_fail_closed ... ok
test admission_operation_store::tests::execution_nonce::domain::durable_nonce_domain_checks_every_bound_field ... ok
test admission_operation_store::tests::execution_nonce::domain::durable_nonce_domain_checks_mint_bounds_and_canonical_decode ... ok
test admission_operation_store::tests::execution_nonce::domain::durable_nonce_domain_rejects_admission_after_legacy_consumption ... ok
test admission_operation_store::tests::execution_nonce::domain::durable_nonce_domain_rejects_legacy_consumption_after_admission ... ok
test admission_operation_store::tests::execution_nonce::domain::durable_nonce_domain_rejects_schema_relabeling ... ok
test admission_operation_store::tests::execution_nonce::domain::durable_nonce_domain_requires_exact_operation_signature_context ... ok
test admission_operation_store::tests::execution_nonce::domain::durable_nonce_domain_v13_pending_capture_rolls_back_and_can_cancel ... ok
test admission_operation_store::tests::execution_nonce::domain::durable_nonce_domain_v13_ready_history_cannot_regain_authority ... ok
test admission_operation_store::tests::execution_nonce::durable_nonce_contenders_in_distinct_namespaces_share_one_replay_identity ... ok
test admission_operation_store::tests::execution_nonce::durable_nonce_decoder_rejects_unbound_noncanonical_and_future_artifacts ... ok
test admission_operation_store::tests::execution_nonce::durable_nonce_expired_reservation_remains_available_only_as_history ... ok
test admission_operation_store::tests::execution_nonce::durable_nonce_generic_cas_cannot_invent_or_advance_a_reservation ... ok
test admission_operation_store::tests::execution_nonce::durable_nonce_identity_cannot_be_updated_or_deleted ... ok
test admission_operation_store::tests::execution_nonce::durable_nonce_reservation_is_atomic_fenced_and_replays_after_restart ... ok
test admission_operation_store::tests::execution_nonce::durable_nonce_reservation_rechecks_issuer_and_expiry_before_mutation ... ok
test admission_operation_store::tests::execution_nonce::durable_nonce_reservation_rolls_back_on_operation_or_record_write_failure ... ok
test admission_operation_store::tests::execution_nonce::durable_nonce_tampering_removal_and_oversized_storage_fail_reads_and_restart ... ok
test admission_operation_store::tests::execution_nonce::durable_nonce_v11_migration_preserves_original_commits_without_inventing_reservations ... ok
test admission_operation_store::tests::execution_nonce::issuance::durable_nonce_issuance_cannot_be_replaced_even_after_expiry ... ok
test admission_operation_store::tests::execution_nonce::issuance::durable_nonce_issuance_generic_cas_cannot_forge_evidence ... ok
test admission_operation_store::tests::execution_nonce::issuance::durable_nonce_issuance_is_exact_and_does_not_reserve_or_dispatch ... ok
test admission_operation_store::tests::execution_nonce::issuance::durable_nonce_issuance_is_permanent_and_detects_corruption ... ok
test admission_operation_store::tests::execution_nonce::issuance::durable_nonce_issuance_rejects_legacy_profiles_and_wrong_issuers ... ok
test admission_operation_store::tests::execution_nonce::issuance::durable_nonce_issuance_reopens_with_current_fences_and_migrates_absence ... ok
test admission_operation_store::tests::execution_nonce::issuance::durable_nonce_issuance_reservation_requires_the_exact_retained_artifact ... ok
test admission_operation_store::tests::execution_nonce::issuance::durable_nonce_issuance_rolls_back_each_sql_cutpoint ... ok
test admission_operation_store::tests::execution_nonce::issuance::qualification::delayed_issuance_cannot_use_a_nonce_expired_at_the_authority ... ok
test admission_operation_store::tests::execution_nonce::issuance::qualification::durable_nonce_issuance_candidates_for_one_operation_have_one_winner ... ok
test admission_operation_store::tests::execution_nonce::issuance::qualification::durable_nonce_issuance_rechecks_fences_and_original_provenance ... ok
test admission_operation_store::tests::execution_nonce::issuance::qualification::durable_nonce_issuance_rejects_foreign_command_mutations ... ok
test admission_operation_store::tests::execution_nonce::issuance::recovery::durable_nonce_issuance_v14_pending_capture_rolls_back_and_can_cancel ... ok
test admission_operation_store::tests::execution_nonce::issuance::recovery::durable_nonce_issuance_v14_ready_cannot_gain_fresh_capture_authority ... ok
test admission_operation_store::tests::execution_nonce::issuance::recovery::live_issuance_does_not_occupy_a_recovery_page ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::approval::durable_nonce_lifecycle_composed_approval_commits_or_cancels_with_its_effect ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::approval::durable_nonce_lifecycle_composed_approval_corruption_prevents_capture ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::approval::durable_nonce_lifecycle_composed_approval_expiry_prevents_budget_capture ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::approval::durable_nonce_lifecycle_composed_approval_rolls_back_when_nonce_commit_fails ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::durable_nonce_lifecycle_cancellation_and_terminal_projection_roll_back_together ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::durable_nonce_lifecycle_cancellation_requires_release_and_retains_tombstones ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::durable_nonce_lifecycle_capture_rolls_back_nonce_budget_and_dispatch_together ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::durable_nonce_lifecycle_commits_with_real_capture_and_blocks_split_capture ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::durable_nonce_lifecycle_generic_cas_cannot_fake_postdispatch_participants ... ok
test admission_operation_store::tests::execution_nonce::lifecycle::durable_nonce_lifecycle_preparation_requires_physical_budget_evidence ... ok
