==> Canonical JSON Lean fixture drift
==> Lean 4 proof build
✔ [196/537] Built Mathlib.Data.Int.Notation (1.4s)
✔ [197/537] Built Mathlib.Lean.Name (2.2s)
✔ [198/537] Built Chio.Core.Receipt (25s)
✔ [199/537] Built Mathlib.Tactic.Conv (4.4s)
✔ [200/537] Built Mathlib.Tactic.Push.Attr (2.9s)
✔ [201/537] Built Mathlib.Lean.Meta (2.2s)
✔ [202/537] Built Mathlib.Data.String.Defs (2.0s)
✔ [203/537] Built Mathlib.Data.Nat.BinaryRec (2.4s)
✔ [204/537] Built Mathlib.Tactic.Eqns (1.9s)
✔ [205/537] Built Mathlib.Tactic.Lemma (1.1s)
✔ [206/537] Built Mathlib.Tactic.Simps.NotationClass (2.4s)
✔ [207/537] Built Mathlib.Tactic.ExtendDoc (1.7s)
✔ [208/537] Built Mathlib.Tactic.Use (5.1s)
✔ [209/537] Built Mathlib.Data.Array.Defs (2.1s)
✔ [210/537] Built Mathlib.Lean.Meta.Simp (2.3s)
✔ [211/540] Built Mathlib.Tactic.PPWithUniv (2.1s)
✔ [212/540] Built Mathlib.Util.AddRelatedDecl (2.9s)
✔ [213/540] Built Mathlib.Tactic.Translate.UnfoldBoundary (4.1s)
✔ [214/540] Built Mathlib.Tactic.ToExpr (1.8s)
✔ [215/540] Built Mathlib.Data.Nat.Notation (1.1s)
✔ [216/540] Built Batteries.Data.List.ArrayMap (1.0s)
✔ [217/540] Built Mathlib.Tactic.AdaptationNote (2.5s)
✔ [218/540] Built Mathlib.Lean.Elab.Term (1.9s)
✔ [219/540] Built Mathlib.Tactic.Attr.Register (2.5s)
✔ [220/540] Built Mathlib.Util.CompileInductive (4.6s)
✔ [221/541] Built Mathlib.Data.Set.Defs (3.0s)
✔ [222/541] Built Qq.MetaM (3.2s)
✔ [223/541] Built Mathlib.Tactic.SplitIfs (3.1s)
✔ [224/541] Built Chio.Core.MerkleWalk (2.5s)
✔ [225/541] Built Batteries.Control.ForInStep.Lemmas (812ms)
✔ [226/541] Built Aesop.Tracing (3.2s)
✔ [227/541] Built Batteries.Data.List.Init.Lemmas (731ms)
✔ [228/543] Built Mathlib.Tactic.TypeStar (1.6s)
✔ [229/543] Built Mathlib.Data.Set.CoeSort (1.1s)
✔ [230/543] Built Mathlib.Tactic.Attr.Core (1.6s)
✔ [231/543] Built Plausible.Testable (5.8s)
✔ [232/543] Built Mathlib.Lean.Meta.CongrTheorems (5.6s)
✔ [233/543] Built Mathlib.Tactic.ScopedNS (6.0s)
✔ [234/543] Built Mathlib.Tactic.Translate.GuessName (3.8s)
✔ [235/543] Built Plausible.DeriveArbitrary (6.8s)
✔ [236/543] Built Qq.Simp (2.2s)
✔ [237/543] Built Batteries.CodeAction.Misc (8.2s)
✔ [238/543] Built Qq.MatchImpl (3.1s)
✔ [239/543] Built Mathlib.Tactic.FBinop (5.4s)
✔ [240/543] Built Mathlib.Data.Rat.Init (1.9s)
✔ [241/543] Built Batteries.Data.Array.Match (2.8s)
✔ [242/543] Built Mathlib.Control.Functor (2.7s)
✔ [243/543] Built Aesop.Script.Step (4.1s)
✔ [244/543] Built Aesop.Util.Tactic.Ext (3.5s)
✔ [245/543] Built Aesop.EMap (3.6s)
✔ [246/543] Built Qq.AssertInstancesCommute (5.1s)
✔ [247/543] Built Mathlib.Data.Ordering.Basic (1.4s)
✔ [248/543] Built Aesop.Stats.Basic (5.3s)
✔ [249/543] Built Mathlib.Data.Option.Defs (1.7s)
✔ [250/543] Built Mathlib.Logic.Function.Defs (2.3s)
✔ [251/543] Built Mathlib.Logic.Function.ULift (1.8s)
✔ [252/543] Built Mathlib.Data.Prod.PProd (2.1s)
✔ [253/543] Built Mathlib.Data.List.TFAE (2.2s)
✔ [254/543] Built Mathlib.Data.Int.Init (4.9s)
✔ [255/546] Built Mathlib.Tactic.Inhabit (1.6s)
✔ [256/546] Built Mathlib.Logic.Nonempty (1.7s)
✔ [257/546] Built Mathlib.Logic.Nontrivial.Defs (1.8s)
✔ [258/546] Built Mathlib.Data.Bracket (2.6s)
✔ [259/546] Built Plausible.Functions (2.2s)
✔ [260/546] Built Mathlib.Tactic.Basic (5.9s)
✔ [261/546] Built Plausible.Tactic (2.4s)
✔ [262/546] Built Batteries.Data.List.Matcher (1.1s)
✔ [263/546] Built Mathlib.Tactic.MkIffOfInductiveProp (4.9s)
✔ [264/546] Built Mathlib.Data.SProd (2.4s)
✔ [265/547] Built Mathlib.Logic.ExistsUnique (4.0s)
✔ [266/547] Built Aesop.Script.SScript (2.6s)
✔ [267/548] Built Aesop.BaseM (2.1s)
✔ [268/548] Built Aesop.Script.UScript (2.6s)
✔ [269/548] Built Aesop.Stats.File (2.4s)
✔ [270/548] Built Aesop.Stats.Extension (2.8s)
✔ [271/548] Built Mathlib.Logic.Relator (2.5s)
✔ [272/548] Built Plausible (2.1s)
✔ [273/554] Built Batteries.Lean.EStateM (2.6s)
